ligand,predicted_energy,smiles
file_ligand_114.pdbqt,-11.63828468322754,CN(C)c1ccc(C2N=C3N=CC(Br)C(N4CCN(CC(=O)Nc5nccs5)CC4)=C3N2)cc1
file_ligand_175.pdbqt,-11.659185409545898,O=C(O)c1ccccc1Nc1nccc(Nc2cccc(C(F)(F)F)c2)n1
file_ligand_174.pdbqt,-12.711675643920898,FC(F)(F)c1cccc(Nc2ccnc(Nc3cccc(C(F)(F)F)c3)n2)c1
file_ligand_113.pdbqt,-11.056371688842772,CCn1cc(C2N=C3N=CC(Cl)C(N4CCN(Cc5cc(C)on5)CC4)=C3N2)cn1
file_ligand_066.pdbqt,-10.673389434814451,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CN4CCC(C(=O)NC5CCC5)C4)cc3)Nn3cccc32)n[nH]1
file_ligand_143.pdbqt,-11.195632934570312,COc1ccc(C2N=C3N=CC(Br)C(N4CCN(Cc5ccncc5)CC4)=C3N2)cc1
file_ligand_014.pdbqt,-10.334359169006348,O=C(Nc1ccc(Nc2ccnc3[nH]c(=O)c4ccccc4c23)cc1)C1CC(F)CC(F)C1
file_ligand_148.pdbqt,-11.487257957458496,COc1ccc(C2N=C3N=CC(Br)C(N4CCN(CC5CC5)CC4)=C3N2)cc1
file_ligand_115.pdbqt,-10.740577697753906,CN(C)c1ccc(C2N=C3N=CCC(N4CCN(CC(=O)Nc5nccs5)CC4)=C3N2)cc1
file_ligand_070.pdbqt,-10.839789390563965,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CN4CCC(C(=O)N5CCC(O)CC5)C4)cc3)Nn3cccc32)n[nH]1
file_ligand_173.pdbqt,-11.1158447265625,CC(C(N)=O)c1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1
file_ligand_111.pdbqt,-11.05039405822754,CN(C)c1ccc(C2N=C3N=CC(Cl)C(N4CCN(CC(=O)Nc5ccccc5)CC4)=C3N2)cc1
file_ligand_132.pdbqt,-11.343737602233888,CN(C)c1ccc(C2N=C3N=CC(Br)C(N4CCN(CC(=O)Nc5cccnc5)CC4)=C3N2)cc1
file_ligand_085.pdbqt,-11.888754844665527,CN(C)c1ccc(C2N=C3N=CC(Br)C(N4CCN(S(=O)(=O)c5ccccc5)CC4)=C3N2)cc1
file_ligand_057.pdbqt,-10.468987464904783,Cc1cc(NC2N=C(Sc3ccc(NC(=O)C4CC4)cc3)Nn3cccc32)n[nH]1
file_ligand_045.pdbqt,-10.261307716369627,CC(=O)N(C)c1ccc(SC2=NC(Nc3cc(C)[nH]n3)c3ccccc3N2)cc1
file_ligand_067.pdbqt,-10.608358383178713,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CN4CCC(C(=O)NC5CCCC5)C4)cc3)Nn3cccc32)n[nH]1
file_ligand_078.pdbqt,-10.750274658203123,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CN4CCC(O)C4)cc3)Nn3cccc32)n[nH]1
file_ligand_129.pdbqt,-10.061492919921877,Clc1ccc(CN2CCN(c3c(Br)cnc4nc(-c5ccc(CN6CCOCC6)cc5)[nH]c34)CC2)cc1
file_ligand_124.pdbqt,-11.451733589172363,COc1ccc(C2N=C3N=CC(Br)C(N4CCN(Cc5ccc(Cl)cc5)CC4)=C3N2)cc1
